Service,Category,Subcategory,Team Default,Aliases
Disaster Recovery,DR Incident,DR Incident,,
Data Center Services,Data Center Operations,Hardware Move,,
Consumer Privacy Act,CA - CPA,CA - CPA Delete Request,,
Spectrum Mobile,Windtalker,Windtalker issue occuring,,
Security,Offensive Security,Exception,,
Business Services,SAP Material Master,Change Item (with price increases),,
Consumer Privacy Act,CA - CPA,CA - CPA Request,,
Enterprise Applications,Avaya One-X Agent / Sales ID,Agent ID Mapping,,
Security,Offensive Security,Risk Registry,,
IT Support Desk,Incident,Legacy SN Migrated Ticket,,
IT Support Desk,Service Request,Legacy SN Migrated Ticket,,
Security,Offensive Security,Technical Request,,
People Management,Security Services,CPS System Support,,
Enterprise Applications,Charter Business Intelligence (CBI),Microstrategy General Access,,
Security,IT - Security,Security Tool Disable Request,,
Enterprise Applications,Charter Business Intelligence (CBI),Teradata  Views and Analytical Workspaces,,
Data Center Services,Data Center Operations,Escort,,
Data Center Services,Data Center Operations,Campus Work,,
Data Center Services,Data Center Operations,Smart Hands (Non-TRB),,
Enterprise Applications,Finance ? Data & Analytics,Access Request,Access Management,
Enterprise Applications,SOM,Access Request,Access Management,
Enterprise Applications,NETWORK AUTOMATION (NA),Access Request,Access Management,
Enterprise Applications,ACTIVE DIRECTORY,Advanced Rights Request,Access Management,
Enterprise Applications,Adobe Experience Manager (AEM),Access Request,Access Management,
Spectrum Mobile,SM360,Request\Update Access,Access Management,
Enterprise Applications,SERVICE ACTIVATION TOOL,Developer Access Request,Access Management,
People Management,Onboarding/Offboarding,Termination Offboarding,Access Management,
Enterprise Applications,PIL,Unexpected Change to Access,Access Management,
Enterprise Applications,TRANSACTIONAL DATA ANALYSIS (TDA),Unexpected Change to Access,Access Management,
Enterprise Applications,SAP BusinessObjects,Access Request,Access Management,
Enterprise Applications,TelDev Applications,Unexpected Change to Access,Access Management,
Enterprise Applications,TRANSACTIONAL DATA ANALYSIS (TDA),Access Request,Access Management,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Unexpected Change to Access,Access Management,
Enterprise Applications,WIFIAMR,Access Request,Access Management,
Enterprise Applications,Wireless (Mobility Management),Access Request,Access Management,
Enterprise Applications,ITSA,Access Request,Access Management,
Enterprise Applications,ITSA,Unexpected Change to Access,Access Management,
Enterprise Applications,XPERTrak/Pathtrak,Access Request,Access Management,
Enterprise Applications,XPERTrak/Pathtrak,Unexpected Change to Access,Access Management,
Enterprise Applications,ABUSELOGGER ISSUETRAK API,Unexpected Change to Access,Access Management,
Enterprise Applications,ACCESS CONTROL SYSTEM (ACS),Access Request,Access Management,
Enterprise Applications,ACCESS CONTROL SYSTEM (ACS),Unexpected Change to Access,Access Management,
Enterprise Applications,ACTIVE DIRECTORY,Access Request,Access Management,
Enterprise Applications,Avaya Call Flow/Routing,Access Request,Access Management,
Enterprise Applications,Avaya CMS/IQ Reporting,"Add , Update & Remove",Access Management,
Enterprise Applications,Charter University,Access Request,Access Management,
Enterprise Applications,CRYSTAL ENTERPRISE,Access Request,Access Management,
Enterprise Applications,CUSTOMER IMPACTING OUTAGE TOOL (CIOT),Access Request,Access Management,
Enterprise Applications,DATA RETRIEVAL TOOL (DRT),Access Request,Access Management,
Enterprise Applications,CYBERSOURCE,Access Request,Access Management,
Enterprise Applications,ENTERPRISE DATA WAREHOUSE (EDW),Unexpected Change to Access,Access Management,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Unexpected Change to Access,Access Management,
Enterprise Applications,Microsoft Bitlocker,Access Request,Access Management,
People Management,Account Management,Change Account Details,Access Management,
People Management,Account Management,JDE Access Request,Access Management,
People Management,Account Management,Unexpected Change to Access,Access Management,
Enterprise Applications,VISTAPLUS,Unexpected Change to Access,Access Management,
Enterprise Applications,VISUAL PARADIGM,Access Request,Access Management,
Enterprise Applications,VISUAL PARADIGM,Unexpected Change to Access,Access Management,
Enterprise Applications,VOICEMANAGER,Access Request,Access Management,
Enterprise Applications,VOICEMANAGER,Unexpected Change to Access,Access Management,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Access Request,Access Management,
Enterprise Applications,VISTAPLUS,Access Request,Access Management,
Enterprise Applications,VIP Access,Unexpected Change to Access,Access Management,
Enterprise Applications,UNITEE (BHN),Access Request,Access Management,
Enterprise Applications,UNITEE (BHN),Unexpected Change to Access,Access Management,
Enterprise Applications,VCAT,Access Request,Access Management,
Enterprise Applications,PEOPLESOFT FINANCIAL,Unexpected Change to Access,Access Management,
Enterprise Applications,PIL,Access Request,Access Management,
Enterprise Applications,PANORAMA,Unexpected Change to Access,Access Management,
Enterprise Applications,Parallels,Access Request,Access Management,
Enterprise Applications,Parallels,Unexpected Change to Access,Access Management,
Enterprise Applications,Penguin Data TQA,Access Request,Access Management,
Enterprise Applications,Penguin Data TQA,Unexpected Change to Access,Access Management,
Enterprise Applications,PEOPLESOFT FINANCIAL,Access Request,Access Management,
Enterprise Applications,SACS,Access Request,Access Management,
Enterprise Applications,SACS,Unexpected Change to Access,Access Management,
Enterprise Applications,SALES DESIGN AND REVIEW PROCESS (SDRP),Access Request,Access Management,
